PrénomHomophoneMajoritaire;PrénomHomophoneMinoritaire
simone;simonne
sirine;sirin ' Prononciation à vérifier
sloane;sloan
soane;soan
soane;sohan ' Prononciation à vérifier
soane;sohane
sofiane;sofian
sofiane;sofianne
sofiane;sofyan
sofiane;sofyane
sofiane;sophian
sofiane;sophiane
sofyen;sofyene
soliman;solimane
soni;sonie
sophien;sophiene
staci;stacie
stan;stane
stéfan;stéfane
steffi;steffie
stefi;stefie
stéphane;stephan
susan;susane
suzan;suzane
suzi;suzie
swann;swan
swann;swane
swann;swanne
sybel;sybelle
sybil;sybile
sybil;sybille
syham;syhame
syndi;syndie
syrian;syriane
syriel;syrielle
terri;terrie
théodor;théodore
thibaud;thibault
thibaud;thibaut
'thierry;thiery 0.4% de thiery : 35 lignes seulement
tifani;tifanie
tifenn;tifenne
tiffani;tiffanie
tiffen;tiffene
timothée;thimoté
timothée;thimotée
timothée;timoté
timothée;timotée  ' 41 occurrences seulement pour timotée
timothée;timothé
timothée;tymothé
timothée;tymothée ' 37 occurrences seulement pour tymothée
tiphen;tiphene
tony;toni
tony;tonie
tyron;tyrone
uriel;urielle
valérie;valéry
vickie;vicki
vickie;viki
virgil;virgile
viviane;vivian ' Prononciation à vérifier
viviane;vivianne
walid;walide
wendi;wendie
wilfrid;wilfride
willi;willie
willian;williane
wissam;wissame
wissem;wisseme
yacim;yacime
yacin;yacine
yaël;yaële
yaël;yaëlle
yakine;yakin ' Prononciation à vérifier
yamin;yamine
yanaël;yanaëlle
yanel;yanelle
yaniss;yanisse
yann;yan
yann;yane
yann;yanne
yannaël;yannaëlle
yannick;yanic
yannick;yanick
yannick;yanik
yannick;yannicke
yasemin;yasemine
yasmine;yasmin
yoane;yoan
yoane;yoann
yoane;yoanne
yoane;yohane
yoane;yohann
yoane;yohanne
yoni;yonie
zacchari;zaccharie
zachari;zacharie
zackari;zackarie
zakari;zakarie
zayan;zayane
zayn;zayne
zidan;zidane
zoé;zoée
zyan;zyane
